Day,Date,Time,DateTime,Destination,Delay,Canceled
Sunday,2016/4/3,7:51:00,2016/4/3 7:51,Arlon,7,No
Sunday,2016/4/3,8:51:00,2016/4/3 8:51,Arlon,2,No
Sunday,2016/4/3,9:51:00,2016/4/3 9:51,Arlon,3,No
Sunday,2016/4/3,10:51:00,2016/4/3 10:51,Arlon,2,No
Sunday,2016/4/3,11:06:00,2016/4/3 11:06,Ottignies,4,No
Sunday,2016/4/3,11:21:00,2016/4/3 11:21,Dinant,2,No
Sunday,2016/4/3,12:51:00,2016/4/3 12:51,Arlon,4,No
Sunday,2016/4/3,14:21:00,2016/4/3 14:21,Dinant,1,No
Sunday,2016/4/3,14:51:00,2016/4/3 14:51,Arlon,4,No
Sunday,2016/4/3,15:06:00,2016/4/3 15:06,Ottignies,3,No
Sunday,2016/4/3,15:51:00,2016/4/3 15:51,Arlon,2,No
Sunday,2016/4/3,16:21:00,2016/4/3 16:21,Dinant,4,No
Sunday,2016/4/3,16:51:00,2016/4/3 16:51,Arlon,2,No
Sunday,2016/4/3,17:06:00,2016/4/3 17:06,Ottignies,1,No
Sunday,2016/4/3,17:21:00,2016/4/3 17:21,Dinant,4,No
Sunday,2016/4/3,17:51:00,2016/4/3 17:51,Arlon,1,No
Sunday,2016/4/3,18:21:00,2016/4/3 18:21,Dinant,3,No
Sunday,2016/4/3,19:06:00,2016/4/3 19:06,Ottignies,16,No
Sunday,2016/4/3,19:21:00,2016/4/3 19:21,Dinant,2,No
Sunday,2016/4/3,19:39:00,2016/4/3 19:39,Brussel-Zuid / Bruxelles-Midi,13,No
Sunday,2016/4/3,19:51:00,2016/4/3 19:51,Arlon,1,No
Sunday,2016/4/3,20:06:00,2016/4/3 20:06,Ottignies,1,No
Sunday,2016/4/3,20:21:00,2016/4/3 20:21,Dinant,1,No
Sunday,2016/4/3,20:51:00,2016/4/3 20:51,Arlon,8,No
Sunday,2016/4/3,21:21:00,2016/4/3 21:21,Dinant,6,No
Sunday,2016/4/3,21:55:00,2016/4/3 21:55,Brussel-Zuid / Bruxelles-Midi,1,No
Sunday,2016/4/3,22:06:00,2016/4/3 22:06,Ottignies,2,No
Sunday,2016/4/3,22:21:00,2016/4/3 22:21,Namur,2,No
Sunday,2016/4/3,23:06:00,2016/4/3 23:06,Ottignies,1,No
Sunday,2016/4/3,23:51:00,2016/4/3 23:51,Namur,2,No
Monday,2016/4/4,5:51:00,2016/4/4 5:51,Arlon,1,No
Monday,2016/4/4,6:09:00,2016/4/4 6:09,Brussel-Zuid / Bruxelles-Midi,1,No
Monday,2016/4/4,6:21:00,2016/4/4 6:21,Liege-Palais,1,No
Monday,2016/4/4,6:22:00,2016/4/4 6:22,Brussel-Zuid / Bruxelles-Midi,2,No
Monday,2016/4/4,6:34:00,2016/4/4 6:34,Dinant,4,No
Monday,2016/4/4,6:51:00,2016/4/4 6:51,Arlon,1,No
Monday,2016/4/4,7:26:00,2016/4/4 7:26,Schaarbeek / Schaerbeek,1,No
Monday,2016/4/4,7:28:00,2016/4/4 7:28,Braine-L Alleud,2,No
Monday,2016/4/4,7:21:00,2016/4/4 7:21,Liege-Palais,15,No
Monday,2016/4/4,7:36:00,2016/4/4 7:36,Aalst,2,No
Monday,2016/4/4,7:51:00,2016/4/4 7:51,Arlon,3,No
Monday,2016/4/4,7:55:00,2016/4/4 7:55,Brussel-Zuid / Bruxelles-Midi,4,No
Monday,2016/4/4,8:05:00,2016/4/4 8:05,Schaarbeek / Schaerbeek,2,No
Monday,2016/4/4,8:06:00,2016/4/4 8:06,Ottignies,4,No
Monday,2016/4/4,8:09:00,2016/4/4 8:09,Brussel-Zuid / Bruxelles-Midi,1,No
Monday,2016/4/4,8:21:00,2016/4/4 8:21,Liege-Palais,10,No
Monday,2016/4/4,8:26:00,2016/4/4 8:26,Schaarbeek / Schaerbeek,1,No
Monday,2016/4/4,8:28:00,2016/4/4 8:28,Braine-L Alleud,4,No
Monday,2016/4/4,8:36:00,2016/4/4 8:36,Aalst,5,No
Monday,2016/4/4,8:38:00,2016/4/4 8:38,Louvain-La-Neuve-Univ.,1,No
Monday,2016/4/4,8:51:00,2016/4/4 8:51,Arlon,6,No
Monday,2016/4/4,9:11:00,2016/4/4 9:11,Halle,1,No
Monday,2016/4/4,9:21:00,2016/4/4 9:21,Liege-Palais,4,No
Monday,2016/4/4,9:26:00,2016/4/4 9:26,Schaarbeek / Schaerbeek,2,No
Monday,2016/4/4,9:36:00,2016/4/4 9:36,Aalst,2,No
Monday,2016/4/4,9:51:00,2016/4/4 9:51,Arlon,2,No
Monday,2016/4/4,10:11:00,2016/4/4 10:11,Halle,1,No
Monday,2016/4/4,10:40:00,2016/4/4 10:40,Brussel-Zuid / Bruxelles-Midi,1,No
Monday,2016/4/4,10:55:00,2016/4/4 10:55,Brussel-Zuid / Bruxelles-Midi,1,No
Monday,2016/4/4,11:21:00,2016/4/4 11:21,Liege-Palais,1,No
Monday,2016/4/4,12:06:00,2016/4/4 12:06,Ottignies,3,No
Monday,2016/4/4,12:36:00,2016/4/4 12:36,Aalst,1,No
Monday,2016/4/4,12:38:00,2016/4/4 12:38,Louvain-La-Neuve-Univ.,1,No
Monday,2016/4/4,13:11:00,2016/4/4 13:11,Halle,4,No
Monday,2016/4/4,13:26:00,2016/4/4 13:26,Schaarbeek / Schaerbeek,1,No
Monday,2016/4/4,14:51:00,2016/4/4 14:51,Arlon,5,No
Monday,2016/4/4,14:55:00,2016/4/4 14:55,Brussel-Zuid / Bruxelles-Midi,1,No
Monday,2016/4/4,15:11:00,2016/4/4 15:11,Halle,2,No
Monday,2016/4/4,15:38:00,2016/4/4 15:38,Louvain-La-Neuve-Univ.,2,No
Monday,2016/4/4,15:51:00,2016/4/4 15:51,Arlon,3,No
Monday,2016/4/4,15:56:00,2016/4/4 15:56,Charleroi-Sud,1,No
Monday,2016/4/4,16:00:00,2016/4/4 16:00,Dinant,2,No
Monday,2016/4/4,16:06:00,2016/4/4 16:06,Ottignies,4,No
Monday,2016/4/4,16:21:00,2016/4/4 16:21,Liege-Palais,7,No
Monday,2016/4/4,16:26:00,2016/4/4 16:26,Schaarbeek / Schaerbeek,1,No
Monday,2016/4/4,16:30:00,2016/4/4 16:30,Arlon,2,No
Monday,2016/4/4,16:34:00,2016/4/4 16:34,Dinant,3,No
Monday,2016/4/4,16:36:00,2016/4/4 16:36,Aalst,1,No
Monday,2016/4/4,16:38:00,2016/4/4 16:38,Louvain-La-Neuve-Univ.,1,No
Monday,2016/4/4,16:51:00,2016/4/4 16:51,Arlon,3,No
Monday,2016/4/4,17:00:00,2016/4/4 17:00,Namur,2,No
Monday,2016/4/4,17:06:00,2016/4/4 17:06,Ottignies,2,No
Monday,2016/4/4,17:11:00,2016/4/4 17:11,Halle,1,No
Monday,2016/4/4,17:21:00,2016/4/4 17:21,Liege-Palais,1,No
Monday,2016/4/4,17:26:00,2016/4/4 17:26,Schaarbeek / Schaerbeek,1,No
Monday,2016/4/4,17:28:00,2016/4/4 17:28,Braine-L Alleud,3,No
Monday,2016/4/4,17:09:00,2016/4/4 17:09,Brussel-Zuid / Bruxelles-Midi,41,No
Monday,2016/4/4,17:36:00,2016/4/4 17:36,Aalst,1,No
Monday,2016/4/4,17:51:00,2016/4/4 17:51,Arlon,2,No
Monday,2016/4/4,17:55:00,2016/4/4 17:55,Brussel-Zuid / Bruxelles-Midi,7,No
Monday,2016/4/4,18:11:00,2016/4/4 18:11,Halle,1,No
Monday,2016/4/4,19:26:00,2016/4/4 19:26,Schaarbeek / Schaerbeek,1,No
Monday,2016/4/4,19:38:00,2016/4/4 19:38,Louvain-La-Neuve-Univ.,1,No
Monday,2016/4/4,19:51:00,2016/4/4 19:51,Arlon,2,No
Monday,2016/4/4,20:11:00,2016/4/4 20:11,Halle,1,No
Monday,2016/4/4,20:26:00,2016/4/4 20:26,Schaarbeek / Schaerbeek,1,No
Monday,2016/4/4,20:55:00,2016/4/4 20:55,Brussel-Zuid / Bruxelles-Midi,12,No
Monday,2016/4/4,21:02:00,2016/4/4 21:02,Charleroi-Sud,6,No
Monday,2016/4/4,21:06:00,2016/4/4 21:06,Ottignies,5,No
Monday,2016/4/4,21:09:00,2016/4/4 21:09,Brussel-Zuid / Bruxelles-Midi,4,No
Monday,2016/4/4,21:21:00,2016/4/4 21:21,Liege-Palais,2,No
Monday,2016/4/4,21:22:00,2016/4/4 21:22,Brussel-Zuid / Bruxelles-Midi,2,No
Monday,2016/4/4,21:26:00,2016/4/4 21:26,Schaarbeek / Schaerbeek,3,No
Monday,2016/4/4,21:33:00,2016/4/4 21:33,Dinant,8,No
Monday,2016/4/4,22:06:00,2016/4/4 22:06,Ottignies,1,No
Tuesday,2016/4/5,6:34:00,2016/4/5 6:34,Dinant,7,No
Tuesday,2016/4/5,6:50:00,2016/4/5 6:50,Mechelen,5,No
Tuesday,2016/4/5,6:51:00,2016/4/5 6:51,Arlon,2,No
Tuesday,2016/4/5,6:55:00,2016/4/5 6:55,Brussel-Zuid / Bruxelles-Midi,3,No
